FBgn0261797	DYNC1H1
FBgn0033688	PRPF8
FBgn0011286	RYR2
FBgn0035581	DNAH3
FBgn0011230	UBR4
FBgn0263599	SNRNP200
FBgn0250789	SPTAN1
FBgn0043362	WDFY3
FBgn0015269	NF1
FBgn0001075	FAT4
FBgn0003189	CAD
FBgn0000319	CLTC
FBgn0000317	MYO7A
FBgn0021796	MTOR
FBgn0039214	USP34
FBgn0250788	SPTBN1
FBgn0264326	POLE
FBgn0005632	USP9X
FBgn0028538	ARFGEF1
FBgn0038344	ASCC3
FBgn0262955	POLR2B
FBgn0015477	DNAJC13
FBgn0085436	CNOT1
FBgn0031266	SF3B1
FBgn0002431	UBR5
FBgn0037541	HEATR5B
FBgn0035162	SF3B3
FBgn0002526	LAMA5
FBgn0267002	KIF1A
FBgn0004167	SPTBN5
FBgn0025725	COPA
FBgn0024277	TRIO
FBgn0284247	DCHS1
FBgn0024806	DIP2C
FBgn0086895	DHX8
FBgn0052113	VPS13D
FBgn0010355	TAF1
FBgn0264386	CACNA1G
FBgn0285944	SCN2A
FBgn0027580	PC
FBgn0261403	OGT
FBgn0004463	POLR3B
FBgn0028982	SUPT6H
FBgn0284220	TOP2B
FBgn0027508	TNKS2
FBgn0043884	ANKHD1
FBgn0011604	SMARCA5
FBgn0026713	DHX38
FBgn0250786	CHD2
FBgn0261800	LAMB1
FBgn0032456	ABCC1
FBgn0025802	SBF2
FBgn0284253	LARS1
FBgn0261617	EP300
FBgn0000709	FLII
FBgn0052702	CUBN
FBgn0260003	DMD
FBgn0040234	VWA8
FBgn0036828	PRPF6
FBgn0259214	ATP2B3
FBgn0260962	DDB1
FBgn0003308	XDH
FBgn0030354	UPF1
FBgn0000559	EEF2
FBgn0024921	TNPO1
FBgn0010380	AP1B1
FBgn0011771	NCKAP1
FBgn0000299	COL4A5
FBgn0264560	GBF1
FBgn0286784	VCP
FBgn0027279	PPIP5K2
FBgn0000119	LRP6
FBgn0263601	MIB1
FBgn0003943	UBC
FBgn0001986	MTREX
FBgn0051729	ATP9B
FBgn0037989	ATP8B2
FBgn0262739	AGO1
FBgn0002183	SUPT16H
FBgn0035205	CTR9
FBgn0267348	LAMC1
FBgn0019938	POLR1A
FBgn0025724	COPB2
FBgn0027079	VARS1
FBgn0004507	PYGM
FBgn0000667	ACTN2
FBgn0259221	ATP8A1
FBgn0015615	SMC3
FBgn0008635	COPB1
FBgn0264855	AP2A2
FBgn0023143	UBA1
FBgn0000464	PTPRD
FBgn0001324	MED12L
FBgn0000052	PFAS
FBgn0011703	RRM1
FBgn0053180	XPO7
FBgn0002774	DHX9
FBgn0024957	ACO1
FBgn0014075	UGGT1
FBgn0003429	KCNMA1
FBgn0010352	OGDH
FBgn0028692	PSMD1
FBgn0037760	FBXO11
FBgn0262125	SEC23A
FBgn0086444	DHX16
FBgn0027582	ATP13A1
FBgn0087013	IPO5
FBgn0040283	SMC1A
FBgn0023081	CDC42BPA
FBgn0261794	SLC12A4
FBgn0011785	BRWD3
FBgn0027094	AARS1
FBgn0023510	WDR7
FBgn0031390	THOC2
FBgn0011828	PXDN
FBgn0001233	HSP90AA1
FBgn0010909	MAP4K4
FBgn0033160	DHX15
FBgn0026252	IPO7
FBgn0014861	MCM2
FBgn0011336	STT3B
FBgn0010100	ACO2
FBgn0031149	STT3A
FBgn0028695	PSMD2
FBgn0001308	KIF5B
FBgn0030087	PHKA2
FBgn0026722	DROSHA
FBgn0026401	NIPBL
FBgn0040273	SUPT5H
FBgn0266599	HSPA8
FBgn0001179	ERCC3
FBgn0026259	EIF5B
FBgn0033859	XAB2
FBgn0035264	WDR35
FBgn0036892	LONP1
FBgn0283531	DUOX1
FBgn0010215	CTNNA2
FBgn0026181	ROCK1
FBgn0261850	ERCC2
FBgn0086347	MYO1D
FBgn0262743	KPNB1
FBgn0027081	TARS1
FBgn0032945	ALDH1L1
FBgn0015929	MCM4
FBgn0011836	TAF2
FBgn0001218	HSPA5
FBgn0024320	NPC1
FBgn0003218	PITPNM2
FBgn0085413	DGKD
FBgn0259111	SLC4A7
FBgn0030631	DDX46
FBgn0032690	DDX23
FBgn0039183	DIS3
FBgn0036451	HELZ
FBgn0260749	KDM6A
FBgn0001965	SOS2
FBgn0030366	USP7
FBgn0263598	ATP6V1A
FBgn0039466	RALGAPA1
FBgn0017577	MCM5
FBgn0010241	ABCB1
FBgn0004391	ANAPC1
FBgn0000117	CTNNB1
FBgn0027330	NAT10
FBgn0003656	PNPLA7
FBgn0004885	TLL1
FBgn0259113	POLA1
FBgn0028671	ATP6V0A1
FBgn0030412	STXBP5
FBgn0038304	SGSM3
FBgn0028968	COPG1
FBgn0025815	MCM6
FBgn0015277	PIK3C3
FBgn0020251	NDST2
FBgn0261439	SDHA
FBgn0026015	TOP3B
FBgn0003210	AP3B1
FBgn0000377	CRNKL1
FBgn0263133	GFM1
FBgn0022213	CSE1L
FBgn0284442	MCM3
FBgn0001220	HSPA9
FBgn0260935	PIK3R4
FBgn0035953	UBE3B
FBgn0031030	TAOK1
FBgn0020633	MCM7
FBgn0036279	SLC12A2
FBgn0003278	POLR1B
FBgn0267390	MAST1
FBgn0022942	NCBP1
FBgn0034708	VPS35
FBgn0033260	CUL4B
FBgn0014006	MAP3K15
FBgn0000535	KCNH5
FBgn0261243	NPEPPS
FBgn0032120	ATP10D
FBgn0034400	DOP1B
FBgn0020306	EP400
FBgn0003091	PRKCA
FBgn0265574	CDC5L
FBgn0039562	HSP90B1
FBgn0040230	KLHL20
FBgn0263219	DSCAM
FBgn0033159	DSCAML1
FBgn0003557	WWP1
FBgn0262126	SEC24C
FBgn0086706	ABCE1
FBgn0036686	BMS1
FBgn0005674	EPRS1
FBgn0002783	SMARCC2
FBgn0039227	PBRM1
FBgn0031995	PHKB
FBgn0003071	PFKM
FBgn0053158	EFL1
FBgn0027783	SMC2
FBgn0035229	DENND5A
FBgn0031604	ELP3
FBgn0286198	AASS
FBgn0261276	OPA1
FBgn0039016	DICER1
FBgn0001330	DHX37
FBgn0015509	CUL1
FBgn0032880	TM9SF2
FBgn0020261	XRN1
FBgn0001247	IDE
FBgn0037249	EIF3A
FBgn0003416	PLCG1
FBgn0004406	POLG
FBgn0035333	MARCHF6
FBgn0031020	NAA15
FBgn0035622	TM9SF3
FBgn0035207	HERC4
FBgn0260798	GRK2
FBgn0035145	MED14
FBgn0003415	MED13L
FBgn0039580	GFPT2
FBgn0030809	UBR2
FBgn0026479	DNM1L
FBgn0261065	CPSF3
FBgn0036702	AFG3L2
FBgn0266464	NSF
FBgn0015391	SMC4
FBgn0027090	QARS1
FBgn0003884	TUBA3C
FBgn0020616	STAG1
FBgn0020621	PKN1
FBgn0012034	ACSS2
FBgn0032018	ABCC10
FBgn0031868	XRN2
FBgn0263395	MAP4K3
FBgn0034276	SARDH
FBgn0015075	DDX1
FBgn0034976	RAD54L2
FBgn0039117	SKIV2L
FBgn0039955	ANKFY1
FBgn0039827	DHTKD1
FBgn0032781	RTCB
FBgn0001139	TLE3
FBgn0265778	RAPGEF2
FBgn0037105	MBTPS1
FBgn0040268	TOP3A
FBgn0017566	NDUFS1
FBgn0030512	NADSYN1
FBgn0036486	MSH6
FBgn0034734	UTP20
FBgn0086357	SEC61A2
FBgn0035227	DEPDC5
FBgn0004611	PLCB1
FBgn0034258	EIF3C
FBgn0003093	PRKCE
FBgn0003889	TUBB2B
FBgn0011211	ATP5F1A
FBgn0022160	GPD2
FBgn0027535	EXTL3
FBgn0003892	PTCH1
FBgn0027588	GANAB
FBgn0033698	ECPAS
FBgn0005671	ATP6V1B2
FBgn0001624	DLG1
FBgn0260439	PPP2R1A
FBgn0022764	SIN3B
FBgn0265102	IFT122
FBgn0027091	CARS1
FBgn0000541	BPTF
FBgn0035121	SND1
FBgn0286783	ETFDH
FBgn0020312	TMTC3
FBgn0028479	HADHA
FBgn0033557	PWP2
FBgn0086707	CWC22
FBgn0028541	TM9SF4
FBgn0000721	PRKG1
FBgn0036043	SLC4A3
FBgn0041096	TANC1
FBgn0003301	ADCY1
FBgn0039241	ATIC
FBgn0027088	GARS1
FBgn0003067	PCK2
FBgn0010217	ATP5F1B
FBgn0260397	ANKHD1
FBgn0037232	SUPV3L1
FBgn0004924	TOP1
FBgn0038427	CLEC16A
FBgn0039846	PNPT1
FBgn0086443	NARS1
FBgn0013674	MT-CO1
FBgn0035402	USP5
FBgn0019985	GRM3
FBgn0039727	VPS13B
FBgn0038666	SMU1
FBgn0052533	DHX34
FBgn0033460	SEC24B
FBgn0262866	RPS6KA2
FBgn0015245	HSPD1
FBgn0266064	GYS1
FBgn0027873	CPSF2
FBgn0037146	ALDH18A1
FBgn0041171	FBXW7
FBgn0002989	RAD54L
FBgn0035437	STRIP1
FBgn0267912	PPP3CA
FBgn0037632	CCT7
FBgn0034401	MARS1
FBgn0284245	EEF1A1
FBgn0027611	MAN2B1
FBgn0015278	PIK3C2B
FBgn0031078	NUP205
FBgn0020370	TPP2
FBgn0000629	EZH2
FBgn0013995	SLC8A3
FBgn0263979	RBBP4
FBgn0028687	PSMC2
FBgn0039187	C2CD5
FBgn0030747	ATP11B
FBgn0283468	BTRC
FBgn0026428	HDAC6
FBgn0015331	DDX41
FBgn0038837	GRIK2
FBgn0027084	KARS1
FBgn0015282	PSMC1
FBgn0030089	AP1G1
FBgn0051183	NPR1
FBgn0003676	TCP1
FBgn0265974	EXT1
