PRPF8	YHR165C
MDN1	YLR106C
CAD	YJL130C
DYNC1H1	YKR054C
ACACB	YNR016C
MTOR	YJR066W
POLE	YNL262W
CLTC	YGL206C
ASCC3	YGR271W
SNRNP200	YER172C
POLR2B	YOR151C
POLR3B	YOR207C
POLR3A	YOR116C
TRRAP	YHR099W
PC	YGL062W
EEF2	YOR133W
VCP	YDL126C
BTAF1	YPL082C
NAT10	YNL132W
TOP2B	YNL088W
RRM1	YIL066C
POLR1A	YOR341W
MTREX	YJL050W
ABCC1	YDR135C
UBA1	YKL210W
GCN1	YGL195W
ACO2	YLR304C
COPA	YDL145C
VARS1	YGR094W
ATP8A1	YAL026C
ATP9B	YIL048W
SMARCA5	YOR304W
HSPA8	YAL005C
UPF1	YMR080C
DHX8	YER013W
AARS1	YOR335C
POLR1B	YPR010C
SF3B1	YMR288W
LARS1	YPL160W
HSP90AB1	YPL240C
DHX15	YGL120C
ABCE1	YDR091C
SDHA	YKL148C
MYO5B	YOR326W
NADSYN1	YHR074W
HSPA5	YJL034W
OGDH	YIL125W
SMARCA2	YOR290C
HSPA9	YJR045C
ELP3	YPL086C
MYH10	YHR023W
ATP13A1	YEL031W
BMS1	YPL217C
ERCC2	YER171W
TARS1	YIL078W
EFL1	YNL163C
ERCC3	YIL143C
SMC4	YLR086W
ARFGEF2	YDR170C
GFM1	YLR069C
MYO1E	YMR109W
COPB2	YGL137W
STT3B	YGL022W
MCM2	YBL023C
CHD1	YER164W
COPB1	YDR238C
SMC2	YFR031C
LONP1	YBL022C
GFPT2	YKL104C
ATP6V1B2	YBR127C
PYGL	YPR160W
EEF1A1	YBR118W
RPTOR	YHR186C
PWP2	YCR057C
EIF5B	YAL035W
ATP5F1A	YBL099W
SEC23A	YPR181C
DHX38	YKR086W
DIS3	YOL021C
ATP5F1B	YJR121W
GYS1	YFR015C
ATP10D	YDR093W
ATIC	YMR120C
TUBB4B	YFL037W
TUBA4A	YML085C
UBC	YLL039C
IDE	YLR389C
SKIV2L	YLR398C
XRN1	YGL173C
PSMD1	YIL075C
MCM6	YGL201C
SMC3	YJL074C
POLA1	YNL102W
MSH2	YOL090W
GART	YGL234W
CCT7	YJL111W
CCT5	YJR064W
EIF2S3	YER025W
TCP1	YDR212W
PFAS	YGR061C
CCT2	YIL142W
PIKFYVE	YFR019W
POLG	YOR330C
MCM4	YPR019W
AFG3L2	YMR089C
PSMD2	YHR027C
PSMC2	YKL145W
KARS1	YDR037W
PGD	YHR183W
ERCC6	YJR035W
MCM5	YLR274W
MT-CO1	Q0045
IMPDH1	YML056C
GPI	YBR196C
AHCY	YER043C
PSMC1	YDL007W
RUVBL1	YDR190C
NSF	YBR080C
RUVBL2	YPL235W
FH	YPL262W
DDX18	YMR290C
RAD54L	YGL163C
MCM7	YBR202W
ATP6V0A1	YOR270C
CCT4	YDL143W
MARS1	YGR264C
PFKP	YMR205C
DNM1L	YLL001W
MCM3	YEL032W
CARS1	YNL247W
PSMC5	YGL048C
ETF1	YBR143C
PITRM1	YDR430C
HSPD1	YLR259C
GARS1	YBR121C
WDR3	YLR129W
ADSL	YLR359W
SUPT16H	YGL207W
CCT6A	YDR188W
GUF1	YLR289W
PSMC3	YOR117W
NVL	YLL034C
ACSS2	YLR153C
CSE1L	YGL238W
DDX3Y	YOR204W
PIGN	YKL165C
ABCB7	YMR301C
DHX37	YMR128W
ETFDH	YOR356W
CS	YNR001C
DDX5	YNL112W
MAN2C1	YGL156W
GANAB	YBR229C
SMC1A	YFL008W
CNOT1	YCR093W
NFS1	YCL017C
UTP20	YBL004W
ATP2B2	YGL006W
SPATA5	YLR397C
PPP1CC	YER133W
NPC1	YPL006W
MAT1A	YLR180W
LIG1	YDL164C
ABCF3	YFR009W
PSMC4	YDR394W
NARS1	YHR019C
PGM1	YMR105C
TOP1	YOL006C
DLD	YFL018C
MTO1	YGL236C
RPL3	YOR063W
DARS1	YLL018C
LSS	YHR072W
SHMT1	YLR058C
SEC61A1	YLR378C
IDH1	YDL066W
IDH2	YLR174W
CPSF3	YLR277C
PNPLA7	YML059C
PPP2R5C	YOR014W
PPP3CA	YML057W
PPP3CC	YLR433C
ATP7B	YDR270W
ACTR2	YDL029W
PIK3C3	YLR240W
LARS2	YLR382C
PGK1	YCR012W
MSH6	YDR097C
KPNA6	YNL189W
NPEPPS	YHR047C
VPS4B	YPR173C
QARS1	YOR168W
EIF4A1	YJL138C
ELP1	YLR384C
TUFM	YOR187W
DDX10	YJL033W
FARSB	YLR060W
HMGCR	YML075C
UGP2	YKL035W
ADSS2	YNL220W
GDI2	YER136W
PI4KA	YLR305C
FIG4	YNL325C
GNL2	YNR053C
ASL	YHR018C
ALDH1B1	YOR374W
MLH1	YMR167W
