FBgn0033688	YHR165C
FBgn0003189	YJL130C
FBgn0036663	YDL171C
FBgn0261797	YKR054C
FBgn0003277	YDL140C
FBgn0021796	YJR066W
FBgn0000319	YGL206C
FBgn0264326	YNL262W
FBgn0263599	YER172C
FBgn0038344	YGR271W
FBgn0262955	YOR151C
FBgn0004463	YOR207C
FBgn0027580	YGL062W
FBgn0000559	YOR133W
FBgn0286784	YDL126C
FBgn0284220	YNL088W
FBgn0034733	YKL215C
FBgn0027086	YBL076C
FBgn0011703	YER070W
FBgn0010100	YLR304C
FBgn0027079	YGR094W
FBgn0001986	YJL050W
FBgn0263600	YDL102W
FBgn0019938	YOR341W
FBgn0020385	YBR084W
FBgn0032456	YDR135C
FBgn0287182	YGL195W
FBgn0025725	YDL145C
FBgn0037801	YMR189W
FBgn0023143	YKL210W
FBgn0086895	YER013W
FBgn0266599	YBL075C
FBgn0011604	YOR304W
FBgn0259221	YAL026C
FBgn0031266	YMR288W
FBgn0051729	YIL048W
FBgn0027094	YOR335C
FBgn0030354	YMR080C
FBgn0020497	YGR218W
FBgn0027330	YNL132W
FBgn0003278	YPR010C
FBgn0010352	YIL125W
FBgn0001233	YPL240C
FBgn0033160	YGL120C
FBgn0284253	YPL160W
FBgn0261439	YKL148C
FBgn0000212	YOR290C
FBgn0086706	YDR091C
FBgn0034618	YPR184W
FBgn0261850	YER171W
FBgn0031604	YPL086C
FBgn0001218	YJL034W
FBgn0086613	YGL150C
FBgn0052451	YGL167C
FBgn0027582	YEL031W
FBgn0001220	YJR045C
FBgn0027081	YIL078W
FBgn0001179	YIL143C
FBgn0011336	YGL022W
FBgn0030512	YHR074W
FBgn0036686	YPL217C
FBgn0261397	YOR326W
FBgn0004507	YPR160W
FBgn0026713	YKR086W
FBgn0005671	YBR127C
FBgn0053138	YEL011W
FBgn0028538	YDR170C
FBgn0287209	YKL104C
FBgn0263133	YLR069C
FBgn0284245	YBR118W
FBgn0036892	YBL022C
FBgn0262125	YPR181C
FBgn0014861	YBL023C
FBgn0011211	YBL099W
FBgn0026259	YAL035W
FBgn0002891	YPL167C
FBgn0250786	YER164W
FBgn0025724	YGL137W
FBgn0039183	YOL021C
FBgn0010217	YJR121W
FBgn0015391	YLR086W
FBgn0008635	YDR238C
FBgn0039241	YMR120C
FBgn0086558	YLL039C
